Título|Autor|Categorias|Data de publicação|Editora|Páginas|ISBN|Lido|Período de leitura|Comentários|Sumário|Caminho da capa|imagem
101 DICAS PRATICAS DE LIDERANÇA|JOHN BALDONI||01/01/2014|Sextante|224|9788543100852|Não|||Repleto de informações acessíveis e fundamentado em pesquisas atuais sobre o papel dos líderes e as expectativas de suas equipes, este livro é organizado em três seções - você, colegas e a empresa. John Baldoni, experiente coach de executivos, trata de todos os aspectos relevantes para uma gestão mais eficiente e inspiradora, e, com orientações precisas, reforça o valor da prática para o crescimento do líder. Ao final de cada seção, ele resume as principais lições e convida o leitor a realizar exercícios de autoavaliação, ajudando-o a pensar de maneira crítica e vencer as complexidades do mundo corporativo.|/MyLibrary/Images/Books/193.png|193.png
89 TEORIAS DE GESTAO QUE TODO GESTOR DEVE SABER|BOB BATES||2014|Saraiva|264|9788502229303|Não|||O dia a dia de qualquer gestor é muito atribulado, e ele tem de estar sempre preparado para resolver problemas. Mas o que faz de alguém um grande gestor? Quais são os segredos de um gerenciamento efetivo? Durante anos e anos, pesquisadores do mundo todo elaboraram teorias de gestão no intuito de responder estes questionamentos. Com este livro, o leitor aprenderá a distinguir uma teoria eficaz de modismos. James McGrath e Bob Bates selecionaram as 89 teorias que realmente funcionam e mostram, de forma direta e acompanhadas de exemplos, como aplicá-las na prática. Ideal para quem é gestor, ou quer se tornar um, este livro é um verdadeiro MBA.|/MyLibrary/Images/Books/42.png|42.png
9 Atitudes das Pessoas Bem- Sucedidas (Em Portugues do Brasil)|Heidi Halvorson||01/01/2014|Sextante|0|9788543101330|Não||||/MyLibrary/Images/Books/51.png|51.png
A Agenda Oculta (Em Portuguese do Brasil)|Kevin Allen||2012|Elsevier|0|9788535262018|Não||||/MyLibrary/Images/Books/131.png|131.png
A Arte de Argumentar – Gerenciando Razão e Emoção|Antônio Suárez Abreu||2001|Atelie Editorial|139|9788585851811|Não|||Este guia se dirige a todos aqueles que pretendem melhorar os relacionamentos por meio da criatividade e do trabalho em equipe. As sugestões do autor são endereçadas principalmente a executivos, professores, psicólogos, advogados e profissionais de venda. Segundo o autor, o equilíbrio entre a razão e a emoção é uma maneira eficaz de ganhar qualidade de vida.|/MyLibrary/Images/Books/94.png|94.png
A ARTE DE FAZER ACONTECER|DAVID ALLEN||01/01/2005|Gulf Professional Publishing|224|9788535219081|Não|||Segundo a obra, só quando as mentes estão claras e os pensamentos organizados é que as pessoas podem atingir a produtividade sem estresse e liberar o potencial criativo. Desde os princípios fundamentais (como decidir qual será o próximo passo para cada item de uma lista de coisas a fazer) até as dicas comprovadas, este livro poderá transformar a maneira de trabalhar - e de vivenciar o trabalho.|/MyLibrary/Images/Books/74.png|74.png
A Cauda Longa|Chris Anderson||2006|Elsevier Brasil|240|9788535221831|Não|||Chris Anderson, editor chefe da revista 'Wired', explorou pela primeira vez o fenômeno da 'cauda longa' em um artigo que se tornou um dos mais influentes ensaios sobre negócios de nosso tempo. Usando o mundo dos filmes, dos livros e da música, mostra que a Internet deu origem a um novo universo, no qual a receita total de diversos produtos de nicho, com baixo volume de vendas, é igual à receita total de poucos produtos de grande sucesso. Por isso cunhou o termo 'cauda longa' para descrever essa situação, o qual tem sido usado pela alta gerência das empresas e pelos meios de comunicação no mundo todo. Nesse livro, Anderson mostra como chegamos a esse ponto e revela as enormes oportunidades que se originam desse fato, vislumbrando um futuro que está presente.|/MyLibrary/Images/Books/206.png|206.png
A DESCOBERTA DO FLUXO|MIHALY CSIKSZENTMIHALYI||||168|9788532510143|Não|||Quando criança, Mihaly Csikszentmihalyi ficava surpreendido ao observar que, mesmo sob o horror da Segunda Guerra Mundial, algumas pessoas utilizavam sua coragem para ajudar o próximo e eram capazes de dar direção e sentido às suas vidas. Após mais de trinta anos de estudo, o autor mantém a convicção de que, seja qual for a atividade que uma pessoa esteja exercendo esportes, trabalho braçal, intelectual ou artístico , o sentimento chamado 'fluxo' é registrado quando há total envolvimento e satisfação com o que está sendo feito. A arte de discernir o que nos proporciona o fluxo é também a possibilidade de alcançar a sabedoria de viver plenamente. 'A descoberta do fluxo' parte de uma reflexão ao mesmo tempo simples e profunda: se não assumirmos a direção de nossa vida, ela será controlada pelo mundo exterior para servir a propósitos alheios. Não podemos esperar que alguém nos ajude a viver; precisamos descobrir como fazer isso por conta própria. A solução é nos desafiarmos com tarefas que exijam alto grau de habilidade e compromisso.||adescobertadofluxo.jpg
A ELITE DO COACHING NO BRASIL|SULIVAN FRANÇA||2013|SF PUBLICACOES EDITORIAIS|184|9788566625004|Não|||A ideia desta obra começou com o propósito de formar uma massa crítica em Coaching na América Latina. Com a parceria entre SLACoaching (Sociedade Latino Americana de Coaching), a obra corresponde a um programa profissional de formação de coaches que, mais tarde, foi reconhecido pelo meio corporativo como a Elite do Coaching no Brasil. Na obra o leitor encontra exemplos, estratégias, dicas e experiências diversas em Coaching.|/MyLibrary/Images/Books/102.png|102.png
A Energia do dinheiro|Glória Maria Garcia Pereira|Finance, Personal|2003|Gulf Professional Publishing|240|9788535213010|Não|||A proposta deste livro é mostrar o sentido e a prática do dinheiro, as leis naturais, energéticas e econômicas para que o leitor desfrute ao máximo as potencialidades deste novo mundo, cheio de oportunidades estimulantes. Alguns dos temas abordados neste livro são - Pobreza x Riqueza; Caminhos do dinheiro; A evolução do ser humano e 3a Grande Revolução do Dinheiro; Relação Pessoal com o dinheiro; O segredo da riqueza; Reflexão de Vida com base no Orçamento Mensal.|/MyLibrary/Images/Books/209.png|209.png
A ERA DA CURADORIA|GILBERTO DIMENSTEIN||2015|Papirus 7 Mares|128|9788561773786|Não|||O acesso cada vez maior à tecnologia permite hoje que informações de toda sorte cheguem até nós das mais diferentes formas. Num momento em que todos podemos ser, ao mesmo tempo, leitores e autores, surge a necessidade de saber selecionar no meio do caos aquilo que, de fato, tem relevância e credibilidade. Afinal, em que prestar atenção? O que realmente importa? Mario Sergio Cortella e Gilberto Dimenstein levam a debate neste livro a ideia de curadoria do conhecimento. Em bate-papo instigante, eles apresentam esse novo conceito e iluminam vários aspectos de nossa cidadania. Pois, como apontam aqui, a formação continuada para a prática da curadoria, isto é, da socialização e mediação dos saberes, torna-se fundamental nesta nova era, seja nas escolas, seja nas empresas ou nos meios de comunicação, como forma de empoderamento do indivíduo.|/MyLibrary/Images/Books/137.png|137.png
A esperanc̦a|Suzanne Collins|Contests|2011|French and European Publications Inc|421|9788579800863|Não|||Depois de sobreviver duas vezes à crueldade de uma arena projetada para destruí-la, Katniss acreditava que não precisaria mais lutar. Mas as regras do jogo mudaram - com a chegada dos rebeldes do lendário Distrito 13, enfim é possível organizar uma resistência. Começou a revolução. A coragem de Katniss nos jogos fez nascer a esperança em um país disposto a fazer de tudo para se livrar da opressão. E agora, contra a própria vontade, ela precisa assumir seu lugar como símbolo da causa rebelde. Ela precisa virar o Tordo. O sucesso da revolução dependerá de Katniss aceitar ou não essa responsabilidade.|/MyLibrary/Images/Books/8.png|s8.png
A Estratégia Do Oceano Azul|W. Chan Kim|Business & Economics|2005|Elsevier Brasil|241|9788535215243|Não|||Apresenta o conceito de oceano azul, o espaço do mercado desconhecido, e esboça suas principais características. Avalia as consequências do lucro e crescimento, e discute porque sua criação é um imperativo crescente para empresas no futuro. Inclui exemplos de empresas da Europa, Ásia e Estados Unidos.|/MyLibrary/Images/Books/198.png|198.png
